StateName,StateCode,CountyCode,CountyName
ALABAMA,01,001,AUTAUGA
ALABAMA,01,003,BALDWIN
ALABAMA,01,005,BARBOUR
ALABAMA,01,007,BIBB
ALABAMA,01,009,BLOUNT
ALABAMA,01,011,BULLOCK
ALABAMA,01,013,BUTLER
ALABAMA,01,015,CALHOUN
ALABAMA,01,017,CHAMBERS
ALABAMA,01,019,CHEROKEE
ALABAMA,01,021,CHILTON
ALABAMA,01,023,CHOCTAW
ALABAMA,01,025,CLARKE
ALABAMA,01,027,CLAY
ALABAMA,01,029,CLEBURNE
ALABAMA,01,031,COFFEE
ALABAMA,01,033,COLBERT
ALABAMA,01,035,CONECUH
ALABAMA,01,037,COOSA
ALABAMA,01,039,COVINGTON
ALABAMA,01,041,CRENSHAW
ALABAMA,01,043,CULLMAN
ALABAMA,01,045,DALE
ALABAMA,01,047,DALLAS
ALABAMA,01,049,DEKALB
ALABAMA,01,051,ELMORE
ALABAMA,01,053,ESCAMBIA
ALABAMA,01,055,ETOWAH
ALABAMA,01,057,FAYETTE
ALABAMA,01,059,FRANKLIN
ALABAMA,01,061,GENEVA
ALABAMA,01,063,GREENE
ALABAMA,01,065,HALE
ALABAMA,01,067,HENRY
ALABAMA,01,069,HOUSTON
ALABAMA,01,071,JACKSON
ALABAMA,01,073,JEFFERSON
ALABAMA,01,075,LAMAR
ALABAMA,01,077,LAUDERDALE
ALABAMA,01,079,LAWRENCE
ALABAMA,01,081,LEE
ALABAMA,01,083,LIMESTONE
ALABAMA,01,085,LOWNDES
ALABAMA,01,087,MACON
ALABAMA,01,089,MADISON
ALABAMA,01,091,MARENGO
ALABAMA,01,093,MARION
ALABAMA,01,095,MARSHALL
ALABAMA,01,097,MOBILE
ALABAMA,01,099,MONROE
ALABAMA,01,101,MONTGOMERY
ALABAMA,01,103,MORGAN
ALABAMA,01,105,PERRY
ALABAMA,01,107,PICKENS
ALABAMA,01,109,PIKE
ALABAMA,01,111,RANDOLPH
ALABAMA,01,113,RUSSELL
ALABAMA,01,115,ST. CLAIR
ALABAMA,01,117,SHELBY
ALABAMA,01,119,SUMTER
ALABAMA,01,121,TALLADEGA
ALABAMA,01,123,TALLAPOOSA
ALABAMA,01,125,TUSCALOOSA
ALABAMA,01,127,WALKER
ALABAMA,01,129,WASHINGTON
ALABAMA,01,131,WILCOX
ALABAMA,01,133,WINSTON
ALABAMA,01,107,PICKENS
ALASKA,02,013,ALEUTIANS EAST
ALASKA,02,016,ALEUTIANS WEST
ALASKA,02,020,ANCHORAGE
ALASKA,02,050,BETHEL
ALASKA,02,060,BRISTOL BAY
ALASKA,02,068,DENALI
ALASKA,02,070,DILLINGHAM
ALASKA,02,090,FAIRBANKS NORTH STAR
ALASKA,02,100,HAINES
ALASKA,02,105,HOONAH-ANGOON (CA)
ALASKA,02,110,JUNEAU
ALASKA,02,122,KENAI PENINSULA
ALASKA,02,130,KETCHIKAN GATEWAY
ALASKA,02,150,KODIAK ISLAND
ALASKA,02,158,KUSILVAK
ALASKA,02,164,LAKE AND PENINSULA
ALASKA,02,170,MATANUSKA-SUSITNA
ALASKA,02,180,NOME
ALASKA,02,185,NORTH SLOPE
ALASKA,02,188,NORTHWEST ARCTIC
ALASKA,02,198,PRINCE OF WALES-HYDER
ALASKA,02,201,PRINCE OF WALES-OUTER
ALASKA,02,220,SITKA
ALASKA,02,232,SKAGWAY-HOONAH-ANGOON
ALASKA,02,240,SOUTHEAST FAIRBANKS
ALASKA,02,261,VALDEZ-CORDOVA
ALASKA,02,270,WADE HAMPTON
ALASKA,02,275,WRANGELL
ALASKA,02,280,WRANGELL-PETERSBURG
ALASKA,02,282,YAKUTAT
ALASKA,02,290,YUKON-KOYUKUK
ARIZONA,04,001,APACHE
